id,"sizetype","created_at","updated_at","ancestry"
84,"52～60インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
85,"60インチ～","2019-09-28 12:36:36","2019-09-28 12:36:36","78"
86,"カメラレンズのサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
87,"ニコンFマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
88,"キヤノンEFマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
89,"ペンタックスKマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
90,"ペンタックスQマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
91,"フォーサーズマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
92,"マイクロフォーサーズマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
93,"α Aマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
94,"α Eマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
95,"ニコン1マウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
96,"キヤノンEF-Mマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
97,"Xマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
98,"シグマSAマウント","2019-09-28 12:36:36","2019-09-28 12:36:36","86"
99,"オートバイのサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
100,"50cc以下","2019-09-28 12:36:36","2019-09-28 12:36:36","99"
101,"51cc-125cc","2019-09-28 12:36:36","2019-09-28 12:36:36","99"
102,"126cc-250cc","2019-09-28 12:36:36","2019-09-28 12:36:36","99"
103,"251cc-400cc","2019-09-28 12:36:36","2019-09-28 12:36:36","99"
104,"401cc-750cc","2019-09-28 12:36:36","2019-09-28 12:36:36","99"
105,"751cc以上","2019-09-28 12:36:36","2019-09-28 12:36:36","99"
106,"ヘルメットのサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
107,"XSサイズ以下","2019-09-28 12:36:36","2019-09-28 12:36:36","106"
108,"Sサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36","106"
109,"Mサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36","106"
110,"Lサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36","106"
111,"XLサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36","106"
112,"XXLサイズ以上","2019-09-28 12:36:36","2019-09-28 12:36:36","106"
113,"フリーサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36","106"
114,"子ども用","2019-09-28 12:36:36","2019-09-28 12:36:36","106"
115,"タイヤのサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
116,"12インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
117,"13インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
118,"14インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
119,"15インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
120,"16インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
121,"17インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
122,"18インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
123,"19インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
124,"20インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
125,"21インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
126,"22インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
127,"23インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
128,"24インチ","2019-09-28 12:36:36","2019-09-28 12:36:36","115"
129,"スキーのサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
130,"140cm～","2019-09-28 12:36:36","2019-09-28 12:36:36","129"
131,"150cm～","2019-09-28 12:36:36","2019-09-28 12:36:36","129"
132,"160cm～","2019-09-28 12:36:36","2019-09-28 12:36:36","129"
133,"170cm～","2019-09-28 12:36:36","2019-09-28 12:36:36","129"
134,"スキーボード","2019-09-28 12:36:36","2019-09-28 12:36:36","129"
135,"子ども用","2019-09-28 12:36:36","2019-09-28 12:36:36","129"
136,"その他","2019-09-28 12:36:36","2019-09-28 12:36:36","129"
137,"スノーボードのサイズ","2019-09-28 12:36:36","2019-09-28 12:36:36",
138,"135cm-140cm未満","2019-09-28 12:36:36","2019-09-28 12:36:36","137"
139,"140cm-145cm未満","2019-09-28 12:36:36","2019-09-28 12:36:36","137"
140,"145cm-150cm未満","2019-09-28 12:36:36","2019-09-28 12:36:36","137"
141,"150cm-155cm未満","2019-09-28 12:36:36","2019-09-28 12:36:36","137"
142,"155cm-160cm未満","2019-09-28 12:36:36","2019-09-28 12:36:36","137"
143,"160cm-165cm未満","2019-09-28 12:36:36","2019-09-28 12:36:36","137"
144,"165cm-170cm未満","2019-09-28 12:36:36","2019-09-28 12:36:36","137"
